relType, propertyName, propertyTypes, mandatory
":`OCCURS_IN`", "shared_gene_count", ["Long"], TRUE
":`ENABLED_BY`", "created_by", ["String"], TRUE
":`ENABLED_BY`", "created_date", ["DateTime"], TRUE
":`ENABLED_BY`", "confidence", ["String"], TRUE
":`ENABLED_BY`", "shared_gene_count", ["Long"], TRUE
":`HOSTS_FUNCTION`", "created_by", ["String"], TRUE
":`HOSTS_FUNCTION`", "created_date", ["DateTime"], TRUE
":`HOSTS_FUNCTION`", "confidence", ["String"], TRUE
":`HOSTS_FUNCTION`", "shared_gene_count", ["Long"], TRUE
":`ASSOCIATED_WITH_DISEASE`", "source", ["String"], TRUE
":`ASSOCIATED_WITH_DISEASE`", "study_geo_id", ["Long"], TRUE
":`ASSOCIATED_WITH_DISEASE`", "regulation", ["String"], FALSE
":`ASSOCIATED_WITH_DISEASE`", "weight", ["Double"], TRUE
":`ASSOCIATED_WITH_DISEASE`", "expression_zscore", ["Double"], FALSE
":`INFECTED_BY`", "study_id", ["String"], TRUE
":`INFECTED_BY`", "expression_weight", ["Double"], TRUE
":`INFECTED_BY`", "source", ["String"], TRUE
":`INFECTED_BY`", "viral_condition", ["String"], TRUE
":`INFECTED_BY`", "viral_condition_full", ["String"], TRUE
":`INFECTED_BY`", "edge_weight", ["Double"], TRUE
":`INFECTED_BY`", "has_expression", ["Boolean"], TRUE
":`PERTURBED_BY`", "source", ["String"], TRUE
":`PERTURBED_BY`", "organism", ["String"], TRUE
":`PERTURBED_BY`", "study", ["String"], TRUE
":`PERTURBED_BY`", "platform", ["String"], TRUE
":`PERTURBED_BY`", "weight", ["Double"], TRUE
":`PERTURBED_BY`", "drug_condition_full", ["String"], TRUE
":`BELONGS_TO_MODULE`", "source", ["String"], TRUE
":`CONTAINS`", "source", ["String"], TRUE
":`MEMBER_OF_PATHWAY`", "source", ["String"], TRUE
":`MEMBER_OF_PATHWAY`", "pathway_name", ["String"], TRUE
":`PART_OF_COLLECTION`", "integration_date", ["DateTime"], TRUE
":`CURATED_MEMBER_OF`", "source_file", ["String"], TRUE
":`CURATED_MEMBER_OF`", "validation_status", ["String"], TRUE
":`CURATED_MEMBER_OF`", "integration_date", ["DateTime"], TRUE
":`ENRICHES_MODULE`", "analysis_date", ["DateTime"], TRUE
":`ENRICHES_MODULE`", "curated_coverage", ["Double"], TRUE
":`ENRICHES_MODULE`", "module_coverage", ["Double"], TRUE
":`ENRICHES_MODULE`", "enrichment_score", ["Double"], TRUE
":`ENRICHES_MODULE`", "overlap_count", ["Long"], TRUE
